[00:00] 來來來開始囉 大家晚安
[00:05] 大家晚安 收發音樂
[00:07] 大家晚安大家好 來聯絡點一下
[00:11] 晚安晚安 來趕快進來趕快進來
[00:15] 在直播間就可以這樣大吵大鬧
[19:24] 要大盒買大盒
[19:25] 想要送禮給朋友的
[19:26] 我覺得
[19:27] 我覺得這個非常棒
[19:28] 699
[19:29] 在回家之前很超級
[19:30] 因為期間限定的東西
[19:31] 外面買不到
[19:32] 好不好
[19:33] 外面買不到
[19:34] A02
[19:35] 加1
[19:36] 小的
[19:37] 399
[19:38] A03
[19:39] 699
[19:40] 在回家
[19:41] 699
[19:42] 699
[19:43] 我跟你講
[19:44] 大家都A02
[19:45] 就小盒的
[19:46] 你如果想要體驗的話
[19:47] 幫我打A02
[19:48] 但我跟你們講一件事情
[19:50] 你說我要體驗
[19:51] 可是
[19:52] 那當你真是
[19:53] 真是覺得體驗了
[19:54] 哇 很好吃
[19:55] 我想要再買
[19:56] 我跟你講買不到了
[19:57] 買不到了
[19:58] 所以A03
[19:59] 可以再起來
